iter	Passed	Remaining
287	4369	10802
288	4377	10769
289	4388	10743
290	4398	10717
291	4410	10692
292	4480	10811
293	4506	10820
294	4532	10832
295	4540	10798
296	4549	10769
297	4558	10739
298	4622	10838
299	4661	10877
300	4690	10893
301	4702	10869
302	4713	10841
303	4722	10811
304	4733	10787
305	4746	10764
306	4755	10735
307	4766	10708
308	4777	10684
309	4787	10655
310	4798	10630
311	4808	10603
312	4823	10587
313	4833	10559
314	4844	10534
315	4855	10510
316	4866	10485
317	4878	10461
318	4887	10433
319	4897	10406
320	4907	10380
321	4918	10356
322	4928	10329
323	4937	10302
324	4952	10285
325	4963	10262
326	4974	10238
327	4982	10208
328	4993	10183
329	5002	10156
330	5014	10134
331	5026	10113
332	5041	10097
333	5050	10070
334	5063	10051
335	5075	10030
336	5087	10008
337	5101	9992
338	5111	9966
339	5123	9945
340	5133	9921
341	5142	9894
342	5154	9872
343	5164	9848
344	5173	9821
345	5184	9799
346	5197	9780
347	5216	9774
348	5228	9752
349	5237	9726
350	5248	9704
351	5259	9682
352	5268	9656
353	5279	9634
354	5292	9615
355	5301	9590
356	5309	9563
357	5321	9542
358	5330	9518
359	5343	9499
360	5353	9476
361	5363	9452
362	5374	9431
363	5384	9408
364	5393	9383
365	5404	9362
366	5415	9341
367	5424	9315
368	5435	9293
369	5447	9274
370	5455	9248
371	5466	9228
372	5477	9207
373	5487	9185
374	5495	9158
375	5507	9139
376	5516	9115
377	5527	9094
378	5536	9071
379	5553	9061
380	5563	9038
381	5575	9020
382	5589	9004
383	5603	8989
384	5615	8970
385	5624	8946
386	5636	8928
387	5647	8908
388	5656	8885
389	5667	8864
390	5679	8845
391	5689	8824
392	5699	8802
393	5709	8782
394	5721	8762
395	5733	8744
396	5745	8726
397	5756	8707
398	5765	8683
399	5776	8665
400	5788	8646
401	5796	8623
402	5808	8604
403	5819	8585
404	5828	8563
405	5838	8542
406	5848	8521
407	5857	8499
408	5871	8483
409	5891	8477
410	5924	8491
411	5935	8471
412	5946	8451
413	5956	8431
414	5965	8408
415	5978	8393
416	5990	8375
417	6001	8355
418	6011	8336
419	6022	8316
420	6032	8295
421	6043	8277
422	6054	8258
423	6063	8237
424	6075	8219
425	6085	8200
426	6098	8183
427	6108	8163
428	6122	8149
429	6133	8130
430	6145	8112
431	6154	8091
432	6163	8071
433	6173	8051
434	6185	8033
435	6195	8014
436	6205	7994
437	6215	7975
438	6226	7957
439	6235	7936
440	6246	7918
441	6257	7899
442	6266	7879
443	6277	7861
444	6288	7842
445	6297	7822
446	6308	7803
447	6317	7783
448	6325	7762
449	6335	7742
450	6347	7726
451	6356	7706
452	6375	7698
453	6386	7680
454	6398	7663
455	6408	7644
456	6419	7627
457	6428	7607
458	6438	7588
459	6450	7571
460	6460	7553
461	6469	7533
462	6479	7515
463	6495	7503
464	6516	7497
465	6529	7482
466	6542	7467
467	6553	7449
468	6563	7431
469	6574	7414
470	6584	7395
471	6643	7431
472	6678	7441
473	6702	7437
474	6732	7441
475	6741	7420
476	6750	7401
477	6767	7389
478	6780	7374
479	6790	7356
480	6800	7337
481	6811	7320
482	6822	7302
483	6830	7282
484	6841	7265
485	6853	7248
486	6863	7229
487	6874	7212
488	6885	7195
489	6895	7177
490	6909	7163
491	6920	7145
492	6929	7125
493	6938	7106
494	6948	7089
495	6958	7070
496	6969	7054
497	6980	7036
498	6990	7018
499	7001	7001
500	7013	6985
501	7023	6967
502	7032	6948
503	7043	6931
504	7054	6914
505	7063	6895
506	7075	6879
507	7084	6861
508	7093	6842
509	7103	6824
510	7113	6807
511	7122	6788
512	7133	6771
513	7152	6762
514	7165	6748
515	7176	6731
516	7186	6713
517	7197	6697
518	7208	6680
519	7217	6662
520	7228	6645
521	7238	6628
522	7246	6609
523	7257	6592
524	7267	6575
525	7276	6557
526	7289	6542
527	7299	6525
528	7308	6507
529	7318	6490
530	7328	6472
531	7338	6455
532	7349	6439
533	7358	6421
534	7367	6403
535	7377	6386
536	7389	6370
537	7398	6353
538	7409	6337
539	7418	6319
540	7427	6301
541	7439	6286
542	7452	6271
543	7462	6254
544	7473	6239
545	7483	6222
546	7492	6204
547	7504	6189
548	7515	6174
549	7525	6156
550	7546	6149
551	7554	6131
552	7565	6115
553	7575	6098
554	7584	6081
555	7595	6065
556	7604	6047
557	7614	6031
558	7624	6015
559	7634	5998
560	7645	5982
561	7656	5967
562	7664	5949
563	7682	5939
564	7692	5922
565	7700	5904
566	7710	5888
567	7722	5873
568	7733	5857
569	7743	5841
570	7751	5823
571	7761	5807
572	7771	5791
573	7781	5775
574	7791	5758
575	7800	5741
576	7811	5726
577	7822	5711
578	7831	5694
579	7840	5677
580	7851	5662
581	7860	5645
582	7870	5629
583	7879	5613
584	7891	5598
585	7901	5582
586	7911	5566
587	7928	5555
588	7938	5539
589	7949	5523
590	7959	5508
591	7970	5493
592	7981	5478
593	7991	5461
594	8000	5445
595	8011	5430
596	8020	5414
597	8030	5398
598	8040	5382
599	8049	5366
600	8063	5353
601	8077	5340
602	8088	5325
603	8097	5309
604	8108	5293
605	8120	5279
606	8129	5263
607	8139	5248
608	8151	5233
609	8161	5217
610	8173	5203
611	8182	5187
612	8192	5171
613	8201	5156
614	8211	5140
615	8220	5124
616	8231	5109
617	8242	5094
618	8251	5079
619	8263	5064
620	8274	5050
621	8285	5035
622	8295	5020
623	8308	5006
624	8325	4995
625	8335	4979
626	8345	4964
627	8357	4950
628	8368	4936
629	8377	4919
630	8390	4906
631	8405	4894
632	8415	4879
633	8433	4868
634	8464	4865
635	8501	4865
636	8516	4853
637	8530	4840
638	8539	4824
639	8549	4809
640	8560	4794
641	8570	4779
642	8580	4764
643	8591	4749
644	8600	4733
645	8611	4719
646	8623	4704
647	8632	4689
648	8643	4674
649	8654	4660
650	8663	4644
651	8685	4635
652	8696	4621
653	8707	4606
654	8717	4591
655	8727	4576
656	8739	4562
657	8751	4548
658	8761	4533
659	8775	4520
660	8789	4507
661	8801	4494
662	8816	4481
663	8827	4466
664	8840	4453
665	8854	4440
666	8868	4427
667	8877	4412
668	8891	4398
669	8903	4385
670	8918	4372
671	8931	4359
672	8945	4346
673	8955	4331
674	8965	4316
675	8977	4302
676	8989	4288
677	8999	4273
678	9011	4260
679	9023	4246
680	9035	4232
681	9045	4217
682	9065	4207
683	9074	4192
684	9085	4177
685	9094	4162
686	9107	4149
687	9120	4136
688	9130	4121
689	9143	4107
690	9156	4094
691	9171	4082
692	9182	4067
693	9195	4054
694	9207	4040
695	9215	4025
696	9226	4010
697	9238	3997
698	9253	3984
699	9266	3971
700	9278	3957
701	9287	3942
702	9300	3929
703	9313	3915
704	9324	3901
705	9335	3887
706	9348	3874
707	9361	3860
708	9373	3847
709	9383	3832
710	9396	3819
711	9411	3806
712	9423	3793
713	9508	3808
714	9542	3803
715	9550	3788
716	9560	3773
717	9574	3760
718	9585	3746
719	9598	3732
720	9607	3717
721	9621	3704
722	9632	3690
723	9643	3676
724	9652	3661
725	9663	3647
726	9675	3633
727	9686	3619
728	9699	3605
729	9713	3592
730	9726	3579
731	9741	3566
732	9751	3552
733	9761	3537
734	9774	3524
735	9788	3511
736	9799	3497
737	9809	3482
738	9821	3468
739	9834	3455
740	9857	3445
741	9869	3431
742	9881	3417
743	9891	3403
744	9901	3389
745	9912	3375
746	9924	3361
747	9934	3346
748	9947	3333
749	9959	3319
750	9969	3305
751	9979	3291
752	9993	3278
753	10008	3265
754	10021	3252
755	10030	3237
756	10042	3223
757	10055	3210
758	10068	3197
759	10081	3183
760	10091	3169
761	10102	3155
762	10112	3141
763	10121	3126
764	10132	3112
765	10142	3098
766	10153	3084
767	10169	3072
768	10181	3058
769	10193	3044
770	10203	3030
771	10212	3016
772	10223	3002
773	10242	2990
774	10257	2978
775	10270	2964
776	10280	2950
777	10292	2936
778	10305	2923
779	10317	2910
780	10326	2895
781	10338	2882
782	10350	2868
783	10363	2855
784	10374	2841
785	10385	2827
786	10399	2814
787	10413	2801
788	10424	2787
789	10433	2773
790	10446	2760
791	10460	2747
792	10472	2733
793	10482	2719
794	10494	2706
795	10510	2693
796	10532	2682
797	10546	2669
798	10558	2656
799	10573	2643
800	10586	2629
801	10599	2616
802	10625	2606
803	10635	2592
804	10651	2580
805	10665	2567
806	10678	2553
807	10692	2540
808	10707	2527
809	10717	2513
810	10729	2500
811	10743	2487
812	10761	2475
813	10775	2462
814	10825	2457
815	10876	2452
816	10928	2447
817	10940	2434
818	10949	2419
819	10960	2406
820	10973	2392
821	10985	2378
822	11010	2367
823	11021	2354
824	11032	2340
825	11042	2326
826	11055	2312
827	11067	2299
828	11078	2285
829	11088	2271
830	11100	2257
831	11113	2244
832	11122	2229
833	11136	2216
834	11147	2202
835	11159	2189
836	11167	2174
837	11178	2160
838	11186	2146
839	11196	2132
840	11206	2118
841	11214	2104
842	11224	2090
843	11232	2076
844	11242	2062
845	11252	2048
846	11260	2034
847	11270	2020
848	11278	2006
849	11288	1992
850	11298	1978
851	11306	1964
852	11316	1950
853	11324	1935
854	11334	1922
855	11342	1908
856	11350	1894
857	11361	1880
858	11369	1866
859	11387	1853
860	11396	1839
861	11404	1825
862	11412	1811
863	11422	1798
864	11430	1784
865	11441	1770
866	11450	1756
867	11457	1742
868	11467	1728
869	11475	1714
870	11486	1701
871	11495	1687
872	11515	1675
873	11529	1662
874	11538	1648
875	11549	1634
876	11560	1621
877	11568	1607
878	11578	1593
879	11586	1580
880	11597	1566
881	11608	1553
882	11616	1539
883	11626	1525
884	11634	1511
885	11644	1498
886	11654	1484
887	11663	1471
888	11673	1457
889	11681	1443
890	11690	1430
891	11704	1417
892	11717	1403
893	11727	1390
894	11738	1377
895	11746	1363
896	11755	1349
897	11772	1337
898	11782	1323
899	11790	1310
900	11800	1296
901	11809	1283
902	11816	1269
903	11827	1255
904	11835	1242
905	11846	1229
906	11855	1215
907	11865	1202
908	11878	1189
909	11888	1175
910	11898	1162
911	11909	1149
912	11921	1135
913	11929	1122
914	11940	1109
915	11948	1095
916	11957	1082
917	11968	1069
918	11978	1055
919	11990	1042
920	12003	1029
921	12014	1016
922	12024	1003
923	12038	990
924	12049	976
925	12059	963
926	12069	950
927	12082	937
928	12093	924
929	12104	911
930	12114	897
931	12127	884
932	12142	871
933	12154	858
934	12163	845
935	12176	832
936	12188	819
937	12199	806
938	12209	793
939	12222	780
940	12233	767
941	12245	753
942	12254	740
943	12266	727
944	12277	714
945	12287	701
946	12299	688
947	12310	675
948	12318	662
949	12329	648
950	12337	635
951	12346	622
952	12355	609
953	12364	596
954	12374	583
955	12382	569
956	12392	556
957	12400	543
958	12408	530
959	12419	517
960	12427	504
961	12437	491
962	12445	478
963	12457	465
964	12467	452
965	12475	439
966	12485	426
967	12495	413
968	12503	400
969	12513	387
970	12521	373
971	12538	361
972	12548	348
973	12557	335
974	12565	322
975	12575	309
976	12583	296
977	12593	283
978	12601	270
979	12611	257
980	12619	244
981	12627	231
982	12638	218
983	12645	205
984	12656	192
985	12709	180
986	12752	167
987	12781	155
988	12790	142
989	12800	129
990	12808	116
991	12818	103
992	12826	90
993	12834	77
994	12844	64
995	12853	51
996	12862	38
997	12871	25
998	12880	12
999	12889	0
