iter	RMSE
166	142694.0916
167	142541.4405
168	142308.5124
169	142135.8591
170	141872.2124
171	141671.089
172	141282.6786
173	141135.3732
174	140875.3561
175	140671.4911
176	140469.2762
177	140092.1405
178	139773.9434
179	139513.0164
180	139341.418
181	139187.4352
182	138739.4367
183	138536.2226
184	138380.2838
185	138126.2151
186	137959.7131
187	137709.3852
188	137331.4884
189	137079.3902
190	136833.1906
191	136603.3029
192	136441.3936
193	136296.9986
194	136081.3075
195	135827.177
196	135645.1331
197	135295.7516
198	135100.8758
199	134917.0387
200	134765.1033
201	134535.7492
202	134279.5004
203	134130.6398
204	134000.4918
205	133678.1858
206	133498.973
207	133073.4585
208	132814.644
209	132679.227
210	132564.0894
211	132190.1735
212	132071.0323
213	131873.9604
214	131758.1569
215	131517.1165
216	131324.6471
217	131207.8299
218	130957.9469
219	130673.0181
220	130444.5977
221	130335.5077
222	130142.3693
223	130019.8491
224	129739.2085
225	129639.1381
226	129509.7831
227	129332.8963
228	129129.3528
229	129007.7298
230	128912.6924
231	128692.5126
232	128568.1895
233	128344.8191
234	128153.841
235	128041.4617
236	127752.3617
237	127648.4452
238	127567.0173
239	127377.2304
240	127216.439
241	126727.6111
242	126590.2321
243	126495.9069
244	126363.7229
245	126248.7575
246	126084.9118
247	125910.7254
248	125407.3634
249	125185.1618
250	125075.9903
251	124978.5098
252	124490.5131
253	124168.911
254	123980.5974
255	123897.9296
256	123788.6644
257	123671.69
258	123578.487
259	123476.5171
260	123355.0918
261	123272.0259
262	123139.4251
263	123031.4059
264	122905.6392
265	122813.3281
266	122686.2593
267	122534.7231
268	122458.1557
269	122332.5253
270	122177.1547
271	121968.6435
272	121886.9666
273	121792.148
274	121672.1639
275	121552.3664
276	121443.018
277	121282.1157
278	121144.1555
279	121052.1418
280	120881.8904
281	120744.9679
282	120590.1567
283	120526.0437
284	120381.6063
285	120233.581
286	120071.034
287	119997.0557
288	119856.4678
289	119722.3058
290	119619.4841
291	119429.7446
292	119358.7037
293	119265.2071
294	119182.6409
295	119036.068
296	118860.6536
297	118781.5726
298	118675.7898
299	118574.2949
300	118453.3773
301	118349.3614
302	118029.8504
303	117919.0035
304	117802.9715
305	117676.8307
306	117565.0344
307	117478.2892
308	117365.0033
309	117245.6822
310	117109.9636
311	117054.2587
312	116961.071
313	116851.6383
314	116775.1821
315	116658.819
316	116543.8066
317	116422.8229
318	116340.0421
319	116168.0746
320	116062.1398
321	115985.547
322	115867.9966
323	115793.8072
324	115676.991
325	115572.3519
326	115486.7544
327	115391.7946
328	115349.3518
329	115245.7633
330	115112.6212
331	115040.6553
332	114925.8768
333	114788.4551
334	114714.4474
335	114667.2548
336	114565.5936
337	114484.1629
338	114390.4926
339	114302.0429
340	114227.7528
341	114163.5628
342	114099.408
343	113984.0863
344	113875.7766
345	113797.1771
346	113739.7653
347	113659.422
348	113584.7918
349	113495.2832
350	113415.6987
351	113293.2235
352	113024.3508
353	112931.4331
354	112856.2543
355	112786.598
356	112710.8871
357	112647.4406
358	112581.5961
359	112483.3673
360	112426.3565
361	112313.356
362	112172.336
363	112102.0959
364	112014.7897
365	111958.7724
366	111862.063
367	111792.0258
368	111750.5467
369	111670.1117
370	111607.6005
371	111512.801
372	111383.2644
373	111292.1942
374	111221.4366
375	111086.7544
376	111012.0688
377	110974.3709
378	110870.2065
379	110774.9452
380	110715.1445
381	110603.8436
382	110502.6491
383	110399.0663
384	110319.5506
385	110267.4949
386	110183.3863
387	110108.9199
388	110028.1311
389	109937.1291
390	109841.3796
391	109740.9829
392	109649.9716
393	109569.2677
394	109487.0885
395	109392.9203
396	109322.8403
397	109268.9566
398	109179.386
399	108876.9082
400	108817.4472
401	108776.5568
402	108712.0261
403	108651.7666
404	108591.3628
405	108540.9202
406	108469.3666
407	108417.8438
408	108330.9771
409	108243.7918
410	108209.7944
411	108144.4993
412	107974.1294
413	107874.5186
414	107813.5086
415	107719.1368
416	107659.8059
417	107576.795
418	107529.9328
419	107436.6366
420	107367.482
421	107301.6613
422	107227.3966
423	107157.1139
424	107093.6628
425	107001.772
426	106943.2219
427	106908.4563
428	106856.8297
429	106798.5484
430	106746.4078
431	106666.0532
432	106615.8595
433	106535.9943
434	106485.446
435	106437.2723
436	106368.9753
437	106304.2679
438	106256.6521
439	106197.4946
440	106153.9812
441	106087.3854
442	106024.3383
443	105977.3276
444	105874.4645
445	105807.8512
446	105771.4382
447	105688.1217
448	105650.0167
449	105621.2177
450	105487.1806
451	105437.7196
452	105390.1742
453	105366.0587
454	105312.1473
455	105256.2819
456	105204.3242
457	105153.7112
458	105077.9971
459	105001.8158
460	104951.1676
461	104899.2055
462	104832.3834
463	104771.5579
464	104735.2446
465	104704.3794
466	104593.2489
467	104544.1579
468	104479.7513
469	104418.3832
470	104380.0776
471	104318.2539
472	104263.8152
473	104182.1327
474	104077.3661
475	104031.989
476	104000.2132
477	103909.0763
478	103868.2332
479	103789.4144
480	103729.0494
481	103607.2372
482	103540.9269
483	103492.2696
484	103429.524
485	103369.1437
486	103304.2497
487	103255.618
488	103222.2462
489	103156.1765
490	103107.3357
491	103052.1009
492	102898.949
493	102802.0933
494	102761.4491
495	102555.2827
496	102480.3968
497	102437.1243
498	102371.8853
499	102309.0212
500	102250.7366
501	102174.308
502	102114.3358
503	102016.8757
504	101968.2643
505	101931.3738
506	101838.2737
507	101703.7977
508	101653.6317
509	101580.6847
510	101531.5399
511	101459.387
512	101401.0084
513	101376.9005
514	101316.8062
515	101274.3095
516	101199.7923
517	101073.331
518	101008.8051
519	100973.973
520	100915.6635
521	100873.0399
522	100836.0017
523	100770.9772
524	100703.5939
525	100440.5248
526	100375.8348
527	100301.7626
528	100267.8108
529	100186.0713
530	100122.0752
531	100078.4025
532	100033.0646
533	99981.85482
534	99915.34864
535	99840.84284
536	99812.21045
537	99737.56854
538	99674.34953
539	99625.63702
540	99590.86692
541	99536.01346
542	99485.63533
543	99446.71575
544	99411.86223
545	99393.41685
546	99359.85215
547	99300.96145
548	99252.50487
549	99211.31016
550	99160.70944
551	99118.84093
552	99045.1437
553	99022.04806
554	98959.88271
555	98909.38575
556	98854.57331
557	98803.8908
558	98757.25478
559	98709.6482
560	98669.26849
561	98617.35759
562	98585.0936
563	98498.9841
564	98461.11175
565	98434.95537
566	98376.18214
567	98335.86532
568	98312.88468
569	98271.32968
570	98241.25594
571	98157.76055
572	98096.84826
573	98021.46541
574	97932.73112
575	97864.38638
576	97809.74224
577	97741.31258
578	97714.24723
579	97699.46594
580	97647.28513
581	97615.03625
582	97563.81271
583	97510.74543
584	97466.68777
585	97418.38514
586	97389.65184
587	97340.05212
588	97304.94707
589	97250.40056
590	97195.23978
591	97132.5947
592	97089.37714
593	97031.97005
594	96965.39478
595	96923.67466
596	96872.44879
597	96856.43233
598	96819.21086
599	96738.42327
600	96685.45473
601	96636.85115
602	96608.48324
603	96563.06855
604	96484.52826
605	96408.86053
606	96353.33193
607	96304.91567
608	96232.13938
609	96186.12071
610	96146.06261
611	96124.11982
612	96027.5374
613	95997.97066
614	95950.25821
615	95880.11926
616	95790.62061
617	95744.00514
618	95695.0396
619	95645.12688
620	95570.11082
621	95550.06631
622	95503.79477
623	95448.79447
624	95390.95054
625	95372.96311
626	95330.64272
627	95283.9852
628	95242.22347
629	95226.55854
630	95192.34031
631	95145.7534
632	95096.0067
633	95059.95591
634	95042.68174
635	95010.68138
636	94976.3498
637	94923.55986
638	94855.31111
639	94814.72597
640	94780.02502
641	94693.05814
642	94643.12771
643	94610.4813
644	94562.37979
645	94533.0839
646	94492.9894
647	94454.49467
648	94375.24967
649	94343.43841
650	94287.58342
651	94234.13858
652	94192.17408
653	94153.64693
654	94122.17854
655	94073.26306
656	94026.20147
657	93954.56892
658	93919.54598
659	93854.41674
660	93798.8012
661	93731.07842
662	93677.50041
663	93648.07293
664	93607.32662
665	93566.20737
666	93515.79324
667	93477.32584
668	93429.08134
669	93388.33069
670	93340.49082
671	93276.67109
672	93230.27573
673	93207.47012
674	93163.8856
675	93104.71424
676	93076.91929
677	93032.48175
678	93008.83248
679	92986.61739
680	92935.75733
681	92900.21068
682	92873.69199
683	92841.66136
684	92798.17994
685	92770.01347
686	92738.94982
687	92673.71403
688	92636.17059
689	92594.49165
690	92561.02776
691	92517.98659
692	92486.17847
693	92466.16676
694	92296.84552
695	92270.4349
696	92244.03017
697	92201.51511
698	92137.21577
699	92106.62503
700	92063.69154
701	92032.17868
702	91983.16257
703	91942.0756
704	91914.50648
705	91890.7779
706	91854.95225
707	91831.25566
708	91782.34974
709	91740.87306
710	91685.82102
711	91645.94689
712	91606.34267
713	91572.62141
714	91537.13406
715	91513.47945
716	91479.57557
717	91333.11785
718	91301.15371
719	91271.69981
720	91238.91272
721	91191.36375
722	91156.56755
723	91129.99054
724	91066.41631
725	91051.14793
726	91032.29793
727	90979.46455
728	90936.47482
729	90889.43477
730	90856.38525
731	90807.86737
732	90763.30478
733	90721.31793
734	90685.07517
735	90645.08398
736	90611.58511
737	90551.74328
738	90517.65173
739	90471.04247
740	90433.88328
741	90387.77428
742	90344.84844
743	90317.42546
744	90261.72012
745	90247.08661
746	90195.25783
747	90148.81145
748	90085.89834
749	90057.74343
750	90016.26029
751	89976.08968
752	89950.16724
753	89915.39162
754	89859.50252
755	89829.09889
756	89794.13921
757	89762.99835
758	89725.21882
759	89643.37859
760	89624.80545
761	89569.63841
762	89535.34738
763	89506.78275
764	89482.15884
765	89468.45181
766	89448.82583
767	89403.38397
768	89372.92967
769	89345.69864
770	89296.17404
771	89257.31787
772	89226.16763
773	89197.70568
774	89157.18388
775	89126.62508
776	89099.79279
777	89066.63974
778	89034.71248
779	88881.67542
780	88827.96305
781	88814.93052
782	88778.04323
783	88749.13828
784	88724.47989
785	88687.3675
786	88655.87433
787	88622.50676
788	88577.54787
789	88538.1004
790	88501.82237
791	88466.01963
792	88433.82327
793	88408.21931
794	88367.23832
795	88333.4037
796	88297.13226
797	88250.79881
798	88225.93778
799	88191.82194
800	88151.04237
801	88128.811
802	88086.13646
803	88073.72881
804	88037.53824
805	87996.49858
806	87953.73664
807	87928.47024
808	87879.86505
809	87824.24217
810	87789.85024
811	87766.6582
812	87741.33551
813	87704.6536
814	87677.47159
815	87636.41
816	87595.96148
817	87563.43986
818	87521.65836
819	87491.28457
820	87450.74518
821	87411.90629
822	87381.13778
823	87346.53209
824	87331.0347
825	87294.29079
826	87264.82074
827	87226.83716
828	87190.59272
829	87158.60526
830	87128.86793
831	87063.69916
832	87045.67009
833	87001.7791
834	86961.47698
835	86932.16468
836	86898.83959
837	86866.65294
838	86841.50429
839	86808.34372
840	86780.2742
841	86746.98775
842	86706.68322
843	86671.91561
844	86632.48129
845	86613.32
846	86581.82212
847	86542.52857
848	86521.51349
849	86495.46326
850	86465.93456
851	86429.26031
852	86377.95882
853	86349.86978
854	86312.40015
855	86273.95002
856	86262.93829
857	86227.16643
858	86208.58385
859	86182.80157
860	86166.69605
861	86128.35019
862	86092.54685
863	86059.87517
864	86026.45909
865	85987.66757
866	85956.50768
867	85921.0052
868	85903.75906
869	85872.37247
870	85849.94664
871	85827.66342
872	85793.01951
873	85756.71686
874	85714.54481
875	85686.06085
876	85649.10821
877	85550.19023
878	85511.5637
879	85475.93735
880	85424.45029
881	85398.25089
882	85364.53049
883	85342.99613
884	85309.09986
885	85283.16047
886	85262.35181
887	85225.49229
888	85198.94082
889	85167.26522
890	85153.04876
891	85115.82922
892	85104.17724
893	85064.91498
894	85033.80658
895	84998.53517
896	84959.05886
897	84928.09373
898	84883.07035
899	84853.04227
900	84829.77566
901	84807.61998
902	84776.74914
903	84735.9761
904	84711.92802
905	84685.20966
906	84638.89689
907	84596.29275
908	84563.47836
909	84526.0811
910	84484.39281
911	84461.51399
912	84419.83607
913	84405.61618
914	84380.08353
915	84351.42076
916	84329.41339
917	84293.71923
918	84260.22991
919	84231.76754
920	84212.4958
921	84169.90107
922	84125.02733
923	84097.33609
924	84070.11977
925	84034.98077
926	83992.81617
927	83973.51522
928	83943.2748
929	83909.75325
930	83879.6352
931	83855.56144
932	83838.22792
933	83808.14634
934	83776.70869
935	83745.50746
936	83713.99149
937	83686.14834
938	83661.88385
939	83619.9834
940	83592.60098
941	83567.23434
942	83546.81324
943	83524.44347
944	83485.61442
945	83468.24898
946	83443.79371
947	83417.25892
948	83389.54007
949	83365.379
950	83336.69619
951	83300.61318
952	83282.17248
953	83254.59078
954	83144.20905
955	83110.29505
956	83093.66129
957	83050.07727
958	83015.77339
959	82983.89056
960	82949.59197
961	82922.9665
962	82893.52033
963	82851.13899
964	82810.71406
965	82788.32362
966	82758.1654
967	82735.39005
968	82705.01539
969	82681.12713
970	82622.40475
971	82603.20595
972	82561.56875
973	82534.48269
974	82514.76508
975	82484.35852
976	82464.79278
977	82456.0191
978	82432.10106
979	82403.58851
980	82384.89404
981	82360.31147
982	82306.41101
983	82288.03224
984	82263.9063
985	82230.63908
986	82204.91953
987	82176.22173
988	82162.26124
989	82115.66381
990	82103.73866
991	82051.27454
992	82023.83972
993	82013.53789
994	81992.1061
995	81967.22976
996	81949.55825
997	81930.02764
998	81891.28952
999	81848.57152
